artistID,true_label,predicted_label,correct
7392,punk,rock,False
94,electronic,electronic,True
7462,rock,rock,True
6473,hip-hop,soul,False
3904,metal,metal,True
7202,electronic,punk,False
5999,pop,pop,True
829,electronic,electronic,True
3123,pop,pop,True
1019,electronic,electronic,True
6175,reggae,reggae,True
4394,rock,pop,False
1719,metal,metal,True
8181,pop,pop,True
7105,electronic,electronic,True
8451,punk,punk,True
8575,pop,pop,True
734,pop,pop,True
9023,country,country,True
4392,electronic,electronic,True
7257,electronic,electronic,True
5958,hip-hop,hip-hop,True
6559,pop,rock,False
8580,reggae,reggae,True
8430,electronic,electronic,True
3543,rock,rock,True
4856,electronic,electronic,True
6978,electronic,electronic,True
2095,metal,metal,True
3140,electronic,rock,False
2303,rock,pop,False
1056,electronic,electronic,True
7594,jazz,rock,False
2184,hip-hop,hip-hop,True
4061,metal,rock,False
7654,metal,metal,True
6101,pop,pop,True
1916,pop,pop,True
2246,rock,rock,True
8890,electronic,jazz,False
568,punk,punk,True
762,metal,metal,True
6706,metal,metal,True
1673,rock,rock,True
2224,metal,metal,True
2727,metal,metal,True
3091,rock,rock,True
4395,punk,rock,False
2267,electronic,rock,False
8192,rock,rock,True
2604,electronic,electronic,True
4101,electronic,rock,False
4581,rock,metal,False
81,pop,pop,True
6033,pop,pop,True
5350,pop,pop,True
2222,metal,rock,False
1571,punk,rock,False
448,pop,pop,True
7033,rock,rock,True
1415,reggae,soul,False
8119,rock,punk,False
6927,punk,punk,True
3270,country,country,True
3724,reggae,reggae,True
1517,rock,rock,True
5083,pop,electronic,False
6204,electronic,electronic,True
3396,rock,rock,True
6976,electronic,electronic,True
6860,electronic,electronic,True
4724,rock,electronic,False
1407,rock,punk,False
3804,electronic,jazz,False
1660,pop,pop,True
3835,rock,rock,True
4351,rock,metal,False
6881,hip-hop,hip-hop,True
8529,jazz,jazz,True
8921,pop,pop,True
6118,metal,rock,False
6071,pop,pop,True
8919,rock,pop,False
1316,hip-hop,hip-hop,True
3541,rock,electronic,False
8004,punk,punk,True
8239,reggae,reggae,True
7617,rock,rock,True
6721,jazz,jazz,True
2628,metal,metal,True
7277,metal,metal,True
170,rock,rock,True
1963,rock,rock,True
7770,rock,rock,True
2089,metal,metal,True
8512,electronic,rock,False
6245,hip-hop,soul,False
4576,electronic,metal,False
4635,rock,metal,False
2610,rock,metal,False
4305,rock,rock,True
8351,latin,latin,True
5951,hip-hop,hip-hop,True
961,metal,metal,True
5225,metal,metal,True
5408,electronic,electronic,True
6171,rock,rock,True
5305,rock,rock,True
4454,rock,rock,True
6398,electronic,electronic,True
2479,punk,punk,True
5737,jazz,jazz,True
8699,electronic,electronic,True
6644,pop,rock,False
6752,electronic,pop,False
6540,electronic,electronic,True
89,rock,rock,True
7531,latin,latin,True
